,Place,HorseNumber,HorseName,HorseCode,Jockey,Trainer,ActualWeight,DeclarWeight,RunningPosition,LBW,FinishTime,WinOdds,Date,RaceIndex
0,1, 10, SEASONS KING, (T032), N Callan, D J Hall, 125, 1048, 10, -, 1.09.35, 9.4,20160907,20160907_1
1,3, 14, NATURAL FRIENDSHIP, (S359), B Prebble, W Y So, 119, 1021, 2, 1-1/2, 1.09.59, 16,20160907,20160907_1
2,5, 9, NO LAUGHING MATTER, (V032), N Rawiller, C S Shum, 125, 1086, 7, 3-1/2, 1.09.89, 70,20160907,20160907_1
3,7, 7, FRIENDS FOREVER, (T079), H N Wong, K L Man, 119, 1255, 5, 4-1/2, 1.10.08, 20,20160907,20160907_1
4,9, 6, BE THERE AHEAD, (S193), T H So, L Ho, 125, 1034, 4, 6-1/4, 1.10.34, 46,20160907,20160907_1
5,11, 11, DUTCH WINDMILL, (T288), K C Ng, C W Chang, 117, 1034, 13, 7, 1.10.48, 84,20160907,20160907_1
6,13, 4, SILVER GATSBY, (T161), K K Chiong, A S Cruz, 122, 1158, 11, 7-1/2, 1.10.56, 16,20160907,20160907_1
7,2, 2, HAPPY SOUND, (V107), J Moreira, A Lee, 129, 1120, 3, 1-1/4, 1.09.56, 1.8,20160907,20160907_1
8,4, 13, LUCKY PLACE, (T004), O Doleuze, C W Chang, 120, 1054, 14, 3, 1.09.84, 76,20160907,20160907_1
9,6, 1, FREE NOVEMBER, (T123), O Bosson, R Gibson, 129, 1099, 8, 4-1/2, 1.10.07, 19,20160907,20160907_1
10,8, 5, REAL SUPREME, (L247), M Chadwick, C W Chang, 128, 1154, 1, 5-3/4, 1.10.27, 10,20160907,20160907_1
11,10, 8, GOLD PRECIOUS, (P364), Z Purton, Y S Tsui, 126, 1177, 12, 6-3/4, 1.10.41, 7.6,20160907,20160907_1
12,12, 3, HAPPY THREE, (V162), S Clipperton, D E Ferraris, 129, 1286, 6, 7, 1.10.49, 66,20160907,20160907_1
13,14, 12, CHANS DELIGHT, (P420), K C Leung, D Cruz, 119, 1090, 9, 9-3/4, 1.10.92, 37,20160907,20160907_1
14,1, 3, RED PEONY, (T014), N Rawiller, Y S Tsui, 133, 1110, 13, -, 1.22.91, 67,20160907,20160907_2
15,3, 14, SNOWHOOVES, (S409), H N Wong, D Cruz, 109, 1075, 2, 2-1/4, 1.23.21, 20,20160907,20160907_2
16,5, 8, GLORY SUNSHINE, (S313), Z Purton, W Y So, 125, 1098, 10, 2-1/2, 1.23.30, 9.4,20160907,20160907_2
17,7, 11, THIS IS GLADIATOR, (T261), H T Mo, C S Shum, 112, 1059, 4, 4, 1.23.55, 28,20160907,20160907_2
18,9, 9, GOLDEN PARTNERS, (S286), K Teetan, A T Millard, 125, 1081, 14, 4-1/2, 1.23.63, 14,20160907,20160907_2
19,11, 4, SPICY DOUBLE, (T393), H W Lai, K L Man, 133, 1118, 9, 7, 1.24.02, 68,20160907,20160907_2
20,13, 13, ENJOY THE GAME, (S062), K C Leung, P F Yiu, 118, 1185, 12, 9-3/4, 1.24.45, 99,20160907,20160907_2
21,2, 1, HAY GO LUCKY, (T023), C Y Ho, K W Lui, 131, 1101, 11, 1-1/4, 1.23.07, 6.9,20160907,20160907_2
22,4, 5, BRILLIANT MONKEYS, (S283), O Doleuze, C W Chang, 132, 1129, 1, 2-1/2, 1.23.27, 15,20160907,20160907_2
23,6, 10, PLAIN BLUE BANNER, (S070), D Whyte, D E Ferraris, 123, 1074, 5, 3-1/4, 1.23.43, 10,20160907,20160907_2
24,8, 7, DOUBLE POINT, (S246), N Callan, C Fownes, 125, 1017, 8, 4, 1.23.56, 29,20160907,20160907_2
25,10, 2, PRINCE FALCON, (T144), J Moreira, J Moore, 133, 1050, 7, 6-3/4, 1.24.00, 2.2,20160907,20160907_2
26,12, 6, DYNAMIC VOYAGE, (P066), K K Chiong, L Ho, 125, 1122, 3, 7-1/2, 1.24.09, 7.7,20160907,20160907_2
27,14, 12, FOUR FOUR FIVE, (P445), K C Ng, T K Ng, 116, 1133, 6, 17-1/4, 1.25.67, 99,20160907,20160907_2
28,1, 6, LUCKY YEAR, (T245), J Moreira, C S Shum, 117, 1135, 2, -, 1.08.19, 2.8,20160907,20160907_3
29,3, 5, BLIZZARD, (S398), K Teetan, P F Yiu, 117, 1129, 4, 1, 1.08.36, 3.5,20160907,20160907_3
30,5, 1, PACKING PINS, (S386), H W Lai, P F Yiu, 133, 1160, 3, 1-3/4, 1.08.49, 13,20160907,20160907_3
31,7, 9, DIVINE BOY, (T163), K C Leung, Y S Tsui, 113, 1073, 1, 3, 1.08.66, 41,20160907,20160907_3
32,9, 10, GOLDEN HARVEST, (N236), K K Chiong, A T Millard, 106, 1167, 9, 5-1/4, 1.09.05, 82,20160907,20160907_3
33,11, 2, DUNDONNELL, (S110), Z Purton, C Fownes, 126, 1172, 11, 13-1/4, 1.10.30, 6.1,20160907,20160907_3
34,2, 11, KEY WITNESS, (S212), M Chadwick, A S Cruz, 113, 1180, 6, 3/4, 1.08.33, 21,20160907,20160907_3
35,4, 8, I'M IN CHARGE, (S164), T H So, C Fownes, 111, 1063, 8, 1-1/4, 1.08.39, 33,20160907,20160907_3
36,6, 7, BORN IN CHINA, (T103), D Whyte, K W Lui, 116, 1069, 7, 2-1/4, 1.08.56, 12,20160907,20160907_3
37,8, 4, AMBER SKY, (N241), H T Mo, P F Yiu, 109, 1192, 10, 3-1/4, 1.08.69, 48,20160907,20160907_3
38,10, 3, DASHING FELLOW, (S284), S Clipperton, J Moore, 122, 1166, 5, 5-1/2, 1.09.05, 7.7,20160907,20160907_3
39,1, 1, BEAUTY MASTER, (V135), Z Purton, A S Cruz, 133, 1104, 5, -, 0.56.35, 5,20160907,20160907_4
40,3, 14, WINNING TALENT, (S256), K Teetan, D E Ferraris, 116, 1032, 9, 1-1/4, 0.56.54, 15,20160907,20160907_4
41,5, 9, MASSIVE MOVE, (T073), K C Leung, L Ho, 119, 1087, 1, 2-1/4, 0.56.71, 6.2,20160907,20160907_4
42,7, 7, PERPETUAL JOYANCE, (V229), J Moreira, J Size, 123, 1124, 3, 2-1/2, 0.56.73, 7.8,20160907,20160907_4
43,9, 6, C P POWER, (V037), S Clipperton, A T Millard, 124, 1069, 11, 3, 0.56.84, 12,20160907,20160907_4
44,11, 8, UNIQUE JOYFUL, (S241), H W Lai, A Lee, 123, 1148, 12, 4-3/4, 0.57.10, 19,20160907,20160907_4
45,13, 5, TRAVEL AMBASSADOR, (T113), Y T Cheng, W Y So, 125, 1152, 14, 12-1/4, 0.58.30, 99,20160907,20160907_4
46,2, 11, ART OF SUCCESS, (P231), M L Yeung, C W Chang, 118, 1131, 2, 1-1/4, 0.56.52, 6.7,20160907,20160907_4
47,4, 12, SIGHT SEEING, (S291), B Prebble, W Y So, 119, 1106, 6, 1-1/2, 0.56.59, 21,20160907,20160907_4
48,6, 4, DIAMOND BIT, (T153), N Rawiller, Y S Tsui, 125, 1109, 7, 2-1/4, 0.56.72, 11,20160907,20160907_4
49,8, 10, PEACE COMBINATION, (T091), K K Chiong, C Fownes, 114, 1058, 10, 2-3/4, 0.56.78, 6,20160907,20160907_4
50,10, 3, FIONN'S CITY, (V049), T H So, C S Shum, 128, 1052, 4, 4, 0.57.00, 66,20160907,20160907_4
51,12, 2, MR POTENTIAL, (V270), D Whyte, C H Yip, 133, 1060, 13, 4-3/4, 0.57.12, 16,20160907,20160907_4
52,WV-A, 13, HARBOUR VICTORY, (T016), C Y Ho, W Y So, 114, 1136, ---, ---,,,20160907,20160907_4
53,1, 1, RUN FORREST, (T176), N Rawiller, C S Shum, 133, 1096, 4, -, 1.22.16, 6.6,20160907,20160907_5
54,3, 4, TEAM SWEET, (V089), J Moreira, J Moore, 132, 1093, 5, 1-3/4, 1.22.45, 3.2,20160907,20160907_5
55,5, 14, EQUITY DOCTRINE, (T329), K C Ng, C W Chang, 108, 1144, 1, 4, 1.22.78, 99,20160907,20160907_5
56,7, 10, ROCK THE TREE, (P272), S Clipperton, D E Ferraris, 118, 1052, 9, 5-1/4, 1.23.01, 61,20160907,20160907_5
57,9, 12, PROMPT EXPRESS, (T168), H W Lai, P F Yiu, 117, 1179, 13, 6-1/4, 1.23.16, 41,20160907,20160907_5
58,11, 8, WORLD RECORD, (V040), K Teetan, A T Millard, 121, 1035, 8, 10-1/4, 1.23.78, 10,20160907,20160907_5
59,13, 5, AUDACITY, (V238), T H So, L Ho, 124, 1093, 6, 12, 1.24.08, 99,20160907,20160907_5
60,2, 9, REGENCY BABY, (S342), H T Mo, A Lee, 110, 1156, 12, 1-1/2, 1.22.38, 11,20160907,20160907_5
61,4, 11, SUPER SWEET ORANGE, (V058), K C Leung, D E Ferraris, 116, 1210, 14, 3-1/4, 1.22.66, 11,20160907,20160907_5
62,6, 13, SMART SALUTE, (V117), H N Wong, Y S Tsui, 110, 1102, 10, 4-1/2, 1.22.88, 99,20160907,20160907_5
63,8, 3, DIVINE DIYA, (P030), M Chadwick, D Cruz, 132, 1158, 2, 5-1/2, 1.23.03, 36,20160907,20160907_5
64,10, 6, FOREVER ACCURATE, (S301), D Whyte, C H Yip, 124, 1118, 7, 8, 1.23.43, 20,20160907,20160907_5
65,12, 7, GAINFULJET, (V283), N Callan, A S Cruz, 122, 1214, 11, 11-3/4, 1.24.05, 17,20160907,20160907_5
66,UR, 2, SUPER MAN, (T213), K K Chiong, W Y So, 126, 1182, 3, -, 3.3,,20160907,20160907_5
67,1, 3, ROUNDABOUT, (T352), D Whyte, W Y So, 128, 1109, 11, -, 1.09.19, 16,20160907,20160907_6
68,3, 5, WONDERFUL JOURNEY, (T402), N Rawiller, P F Yiu, 126, 1113, 13, 3-1/2, 1.09.71, 24,20160907,20160907_6
69,5, 11, RICHCITY FORTUNE, (V088), S Clipperton, J Moore, 121, 1139, 6, 4-1/4, 1.09.86, 36,20160907,20160907_6
70,7, 4, UNLEASHED DRAGON, (V205), Z Purton, R Gibson, 127, 1104, 3, 4-3/4, 1.09.95, 3.1,20160907,20160907_6
